,rid,client_id,gender,transcription,reference,split,weight,wer,cer
18,train_18,male_1,male," For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or are not being in control.",for some understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control,train,0.1170940170940171,0.03125,0.017241379310344827
22,train_22,male_10,male, Despite his comments he said he will be supporting the British competitors at the 2012 Olympics being held in London.,despite his comments he said he will be supporting the british competitors at the 2012 olympics being held in london,train,0.09401709401709402,0.0,0.0
23,train_23,male_5,male, Even peacekeepers who arrived in Haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troops in campment.,un peacekeepers whom arrived in haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troop's encampment,train,0.10683760683760683,0.19230769230769232,0.05228758169934641
25,train_25,male_3,male, They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.,they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on,train,0.13418803418803418,0.0,0.0
27,train_27,male_7,male," Examples include control, planning and scheduling, the ability to answer customers, diagnosis, and questions, as well as handwritten and writing recognition, voice and face.",examples include control planning and scheduling the ability to answer customer diagnoses and questions as well as handwriting recognition voice and face,train,0.12991452991452992,0.22727272727272727,0.0915032679738562
28,train_28,male_4,male," Other scientists argue that these plants are very poisonous, so it is unlikely that any dinosaur ate them. Even though today the sloth and other animals like the parrot are the similar of the dinosaurs, can eat poisonous leaves and fruit.",other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them even though today the sloth and other animals like the parrot a descendant of the dinosaurs can eat poisonous leaves or fruit,train,0.1282051282051282,0.1,0.06086956521739131
31,train_31,male_7,male, The blade on the modern ice cape has a double edge with a concave hollow between them. The two edges allow for better grasp of the ice even when tilted.,the blade on a modern ice skate has a double edge with a concave hollow between them the two edges allow for a better grasp of the ice even when tilted,train,0.12991452991452992,0.0967741935483871,0.053691275167785234
34,train_34,male_5,male, Another disadvantage of zoom lenses is that the maximum aperture the speed of the lens is usually lower.,another disadvantage of zoom lenses is that the maximum aperture the speed of the lens is usually lower,train,0.10683760683760683,0.0,0.0
37,train_37,male_3,male, Visibility may also be restricted by following or blowing snow or by condensation or ice on vehicle windows.,visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows,train,0.13418803418803418,0.05555555555555555,0.02857142857142857
41,train_41,male_11,male," Some people believe that a surprising many artificial, induced lucid dreams often endures can be very exhausting.",some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting,train,0.05897435897435897,0.25,0.125
42,train_42,male_1,male, Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.,northern rock had required support due to its exposure during the subprime mortgage crisis in 2007,train,0.1170940170940171,0.0,0.0
44,train_44,male_3,male, Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was an imminent danger of falling over.,officials for the city of amsterdam and the anne frank museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over,train,0.13418803418803418,0.02631578947368421,0.004975124378109453
46,train_46,male_10,male, Beijing will host the opening at closed ceremonies and indoor ice events.,beijing will host the opening and closing ceremonies and the indoor ice events,train,0.09401709401709402,0.23076923076923078,0.11538461538461539
49,train_49,male_0,male," Shortly after, the Atlanta General Constriction published a report showing problems with test results.",shortly after the atlanta journal-constitution published a report showing problems with test results,train,0.11282051282051282,0.14285714285714285,0.08
50,train_50,male_7,male," In 1885, after defeat in the first Sino Japanese war, 1894 to 1895. The Queen government signs the Treaty of Shimono Seki by which seeds sovereignty over Taiwan to Japan, which rules the island until 1945.",in 1895 after defeat in the first sino-japanese war 1894-1895 the qing government signs the treaty of shimonoseki by which it cedes sovereignty over taiwan to japan which rules the island until 1945,train,0.12991452991452992,0.2,0.07142857142857142
51,train_51,male_7,male," Occasionally specialist air tours go inland, from mountaineering or to reach the pole, which has a larger base.",occasional specialist air tours go inland for mountaineering or to reach the pole which has a large base,train,0.12991452991452992,0.16666666666666666,0.04807692307692308
55,train_55,male_0,male, It can be better to use an agent who frequently books similar trips to yours.,it can be better to use an agent who frequently books similar trips to yours,train,0.11282051282051282,0.0,0.0
57,train_57,male_4,male," Leonardo, also known as Cosmolat number 11, is part of the Soviet Union's original team of Cosmonauts.",leonov also known as cosmonaut no 11 was part of the soviet union's original team of cosmonauts,train,0.1282051282051282,0.2222222222222222,0.13541666666666666
59,train_59,male_0,male, The number of natives because varies depending on whether or not very closely related the LXR counted.,the number of native speakers varies depending on whether or not very closely related dialects are counted,train,0.11282051282051282,0.23529411764705882,0.16981132075471697
64,train_64,male_1,male," When the individuals show several variants of a particular trait, they are polymorphic.",when the individuals show several variants of a particular trait they are polymorphic,train,0.1170940170940171,0.0,0.0
68,train_68,male_3,male, It can be made very thin and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand painted pictures and books called Illuminated Manuscripts.,it can be made very thin and stuck onto other metal it can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called illuminated manuscripts,train,0.13418803418803418,0.030303030303030304,0.0111731843575419
69,train_69,male_3,male," This gives resolution almost 4 times that of a 35mm negative. 3,166mm squared versus 864.",this gives resolution almost four times that of a 35 mm negative 3136 mm2 versus 864,train,0.13418803418803418,0.2,0.15492957746478872
70,train_70,male_11,male, Vikings used erosion water with tanks to the black sea and cast-pain sea. Part of this road can still be used. Check possible need for special remains which may be difficult to get.,vikings used the russian waterways to get to the black sea and caspian sea parts of these routes can still be used check possible need for special permits which may be difficult to get,train,0.05897435897435897,0.3235294117647059,0.16304347826086957
72,train_72,male_5,male, Suffocles and our stuff needs are still popular playwrights. The employees are considered to be among the greatest works of world literature.,sophocles and aristophanes are still popular playwrights and their plays are considered to be among the greatest works of world literature,train,0.10683760683760683,0.3333333333333333,0.15942028985507245
73,train_73,male_0,male, Income tax is structured differently in different countries and the tax rates and brackets vary widely from one country to another.,income tax is structured differently in different countries and the tax rates and brackets vary widely from one country to another,train,0.11282051282051282,0.0,0.0
77,train_77,male_10,male," Due to the religious synonyms, the significance of the city and in particular the many sites of the old city area Jerusalem is one of the main tourist destinations in Israel.",due to the religious significance of the city and in particular the many sites of the old city area jerusalem is one of the main tourist destinations in israel,train,0.09401709401709402,0.06896551724137931,0.08176100628930817
80,train_80,male_4,male, It's status declined during the 12th century mainly due to the fact that Crusaders had returned varying gifts such as silks and spices that were valued more than what Byzantine markets offered.,its status declined during the twelfth century mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what byzantine markets offered,train,0.1282051282051282,0.09375,0.02617801047120419
82,train_82,male_5,male," The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice, even when tilted.",the blade on a modern ice skate has a double edge with a concave hollow between them the two edges allow for a better grasp of the ice even when tilted,train,0.10683760683760683,0.0,0.0
83,train_83,male_3,male, I was moved every time we did a rehearsal on this from the bottom of my heart.,i was moved every time we did a rehearsal on this from the bottom of my heart,train,0.13418803418803418,0.0,0.0
87,train_87,male_7,male, Marushaidor had finished on top of the ladder 6. clear of Nusa in second.,maroochydore had finished on top of the ladder six points clear of noosa in second,train,0.12991452991452992,0.2,0.19480519480519481
89,train_89,male_10,male, Many buildings are quite beautiful to look at at the view from a tall building or from a cleverly positioned window can be a beauty to behold.,many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold,train,0.09401709401709402,0.037037037037037035,0.014084507042253521
91,train_91,male_3,male," And in the adoption, the birth parents terminate their parental rights so that another couple may prepare the child.",in an adoption the birth parents terminate their parental rights so that another couple may parent the child,train,0.13418803418803418,0.16666666666666666,0.1111111111111111
93,train_93,male_3,male," We will endeavor to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level, Kuzed.",we will endeavour to cut carbon dioxide emissions per unit of gdp by a notable margin by 2020 from the 2005 level hu said,train,0.13418803418803418,0.08333333333333333,0.041666666666666664
94,train_94,male_11,male, Lead researches say these may bring LED tension of cancer to be closest HIV and malaria to patients in low income countries where the survivor rate for illnesses such as breast cancer can be half those of Richard Countries.,lead researchers say this may bring early detection of cancer tuberculosis hiv and malaria to patients in low-income countries where the survival rates for illnesses such as breast cancer can be half those of richer countries,train,0.05897435897435897,0.2702702702702703,0.09777777777777778
95,train_95,male_10,male," Dr. Lee also expressed his concern about reports that children in your hierarchy have now become infected with the A, H, 5, N, 1, A, and flu and the virus without becoming ill.",dr. lee also expressed his concern about reports that children in turkey have now become infected with the ah5n1 avian influenza virus without becoming ill,train,0.09401709401709402,0.32142857142857145,0.1411042944785276
104,train_104,male_5,male," Panama Papers is an embrilatern for a fully 10 million documents from Panama Manion law firm Massac, Fanesca, leaked to the press in spring 2016.",panama papers is an umbrella term for roughly ten million documents from panamanian law firm mossack fonseca leaked to the press in spring 2016,train,0.10683760683760683,0.34782608695652173,0.1357142857142857
105,train_105,male_7,male," In an adoption, the birth parents terminate their parental rights so that another couple may parent the child.",in an adoption the birth parents terminate their parental rights so that another couple may parent the child,train,0.12991452991452992,0.0,0.0
106,train_106,male_1,male, You should choose your frequent flyer airline in an alliance carefully.,you should choose your frequent flyer airline in an alliance carefully,train,0.1170940170940171,0.0,0.0
107,train_107,male_0,male, Tropical Storm by Niel for the name Storm of the 2010 Atlantic Hurricane season as formed in the eastern Atlantic Ocean.,tropical storm danielle fourth named storm of the 2010 atlantic hurricane season has formed in the eastern atlantic ocean,train,0.11282051282051282,0.3157894736842105,0.09322033898305085
108,train_108,male_3,male, One of the most common problems when trying to convert a movie to DVD is the over scan.,one of the most common problems when trying to convert a movie to dvd format is the overscan,train,0.13418803418803418,0.16666666666666666,0.08695652173913043
109,train_109,male_3,male," The setting might be an historic old building with antique furnishings, manicured grounds and a swimming pool.",the setting might be an historic old building with antique furnishings manicured grounds and a swimming pool,train,0.13418803418803418,0.0,0.0
110,train_110,male_3,male, Duty-free shopping is the opportunity to buy goods exempted from taxes and exercises at certain locations.,duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations,train,0.13418803418803418,0.058823529411764705,0.019417475728155338
119,train_119,male_1,male, The areas also home to an extremely wide variety of animal and bird species.,the area is also home to an extremely wide variety of animal and bird species,train,0.1170940170940171,0.13333333333333333,0.025974025974025976
120,train_120,male_0,male," The mountain thickness of the park ice, according to Pitman, is the worst it has been for sealers in the past 15 years.",the amount and thickness of the pack ice according to pittman is the worst it has been for sealers in the past 15 years,train,0.11282051282051282,0.16666666666666666,0.05042016806722689
124,train_124,male_5,male," Of course visits are costly, demand physical fitness can only take place in summer November, December, February and are largely limited to the peninsula islands and Ross C.",tourist visits are costly demand physical fitness can only take place in summer nov-feb and are largely limited to the peninsula islands and ross sea,train,0.10683760683760683,0.23076923076923078,0.18791946308724833
134,train_134,male_7,male," Those smaller, it reminds some elderly visitors of Hawaii before statehood, without all the large tourists, hotels and other development.",though smaller it reminds some elderly visitors of hawaii before statehood without all the large tourist hotels and other development,train,0.12991452991452992,0.1,0.03007518796992481
139,train_139,male_0,male, If what's such for this crash site are being met by bad weather and hush terrain.,efforts to search for the crash site are being met by bad weather and harsh terrain,train,0.11282051282051282,0.375,0.18072289156626506
143,train_143,male_0,male," Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially storing car cases. With the intent of boosting the agency's success rate.",historians have criticized past fbi policies for focusing resources on cases which are easy to solve especially stolen car cases with the intent of boosting the agency's success rate,train,0.11282051282051282,0.03333333333333333,0.01639344262295082
147,train_147,male_10,male," Part of this charm is the lack of visible corporate development, past strains and boats connected villages and cars cannot reach them from the outside.",part of its charm is the lack of visible corporate development paths trains and boats connect the villages and cars cannot reach them from the outside,train,0.09401709401709402,0.19230769230769232,0.06666666666666667
149,train_149,male_5,male, This is the first time a conviction has been gained using the legislation acted in 2003 to curb bulk email aka spam from unsolicited distribution and to use user's mailboxes.,this is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail aka spam from unsolicited distribution into users mailboxes,train,0.10683760683760683,0.27586206896551724,0.0718562874251497
151,train_151,male_3,male," In Rogoland and Agdur, they are usually called hay, meaning a treeless, moreland often covered in Heather.",in rogaland and agder they are usually called hei meaning a treeless moorland often covered in heather,train,0.13418803418803418,0.23529411764705882,0.058823529411764705
153,train_153,male_1,male," However, very few royal navy ships were based near the likely invasion routes, as the admirals were afraid they would be sunk by German air attack.",however very few royal navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by german air attack,train,0.1170940170940171,0.0,0.0
154,train_154,male_10,male," You can also have aloeisatic loose ball, knots of non-metallic illness like carbon.",you can also have alloys that include small amounts of non-metallic elements like carbon,train,0.09401709401709402,0.4,0.26136363636363635
155,train_155,male_1,male," Also blogging, forces students to become more savvy about the world around them. The need to feed the interest of the audience, inspire students to be clever and interesting. Toto 2004.",also blogging forces students to become more savvy about the world around them. the need to feed the interest of the audience inspires students to be clever and interesting toto 2004,train,0.1170940170940171,0.03225806451612903,0.0055248618784530384
156,train_156,male_3,male, The city will be the first in Southeastern Europe to host Cal Parade. The world's largest public art event between June and August this year.,the city will be the first in southeastern europe to host cowparade the world's largest public art event between june and august this year,train,0.13418803418803418,0.08,0.021897810218978103
158,train_158,male_1,male," The Grani, where the most significant indigenous group inhabiting what is now Eastern Paraguay, living as semi-nomadic hunters who also practiced subsistence agriculture.",the guaraní were the most significant indigenous group inhabiting what is now eastern paraguay living as semi-nomadic hunters who also practised subsistence agriculture,train,0.1170940170940171,0.08333333333333333,0.017857142857142856
161,train_161,male_7,male," Although in the end Kushev sent in tanks to restore order, he did give way to some economic demands. And agreed to appoint the popular, while Alady Slav Gomorca as a new prime minister.",although in the end krushchev sent in tanks to restore order he did give way to some economic demands and agreed to appoint the popular wladyslaw gomulka as the new prime minister,train,0.12991452991452992,0.1875,0.09497206703910614
163,train_163,male_5,male," If you live in a city with a very drinking culture, go to bars or pubs and neighbourhoods you don't frequent.",if you live in a city with a varied drinking culture go to bars or pubs in neighborhoods you don't frequent,train,0.10683760683760683,0.09090909090909091,0.05555555555555555
165,train_165,male_10,male, It is the biggest acquisition in eBay's history.,it is the biggest acquisition in ebay's history,train,0.09401709401709402,0.0,0.0
166,train_166,male_0,male," He can itself, with surviving the times, gives a very vivid image of Muhammad's spiritual inclinations.",he cave itself which survived the times gives a very vivid image of muhammad's spiritual inclinations,train,0.11282051282051282,0.17647058823529413,0.06862745098039216
169,train_169,male_3,male, The Drukyal Zhang is a ruined fortress and Buddhist monastery in the upper part of the Paro district in Fonday Village.,the drukgyal dzong is a ruined fortress and buddhist monastery in the upper part of the paro district in phondey village,train,0.13418803418803418,0.14285714285714285,0.058333333333333334
174,train_174,male_1,male," According to the lawsuit, waste from the UN camp was not properly sanitized, causing bacteria to enter the tributary of the Arde Bonite river, one of Haiti's largest.",according to the lawsuit waste from the un camp was not properly sanitized causing bacteria to enter the tributary of the artibonite river one of haiti's largest,train,0.1170940170940171,0.07142857142857142,0.018518518518518517
175,train_175,male_5,male, Around the 15th century northern Estonia was under great cultural influence of Germany.,around the 15th century northern estonia was under great cultural influence of germany,train,0.10683760683760683,0.0,0.0
177,train_177,male_5,male," After officials verify the voter's identity, the voter drops the envelope into the ballot box and signs the voting roll.",after officials verify the voter's identity the voter drops the envelope into the ballot box and signs the voting roll,train,0.10683760683760683,0.0,0.0
181,train_181,male_3,male, The cities of Harapa and Mohenjo Daro had a flesh toilet in almost every house attached to a sophisticated sewage system.,the cities of harappa and mohenjo-daro had a flush toilet in almost every house attached to a sophisticated sewage system,train,0.13418803418803418,0.09523809523809523,0.01652892561983471
182,train_182,male_1,male, A cavalry is an army that fights on horseback. The saddle had not yet been invented so that a Syrian cavalry fought on the bare backs of their horses.,a cavalry is an army that fights on horseback the saddle had not yet been invented so the assyrian cavalry fought on the bare backs of their horses,train,0.1170940170940171,0.10714285714285714,0.02040816326530612
185,train_185,male_4,male," If it becomes commercial, we should have it. That is, there is no in principle objections nuclear energy. Mr. Castelo said.",if it becomes commercial we should have it that is there's no in-principle objection to nuclear energy mr costello said,train,0.1282051282051282,0.13636363636363635,0.04032258064516129
187,train_187,male_1,male, Local Media Reports and Airport Fire Vehicle rolled over while responding.,local media reports an airport fire vehicle rolled over while responding,train,0.1170940170940171,0.09090909090909091,0.013888888888888888
188,train_188,male_7,male, The hearing also marks the date for the suspects right to a speedy trial.,the hearing also marks the date for the suspect's right to a speedy trial,train,0.12991452991452992,0.13333333333333333,0.02702702702702703
189,train_189,male_11,male," And the last year is of the ancient century, the written names, also in Vider Cambodia.",in the last years of the 18th century the vietnamese also invaded cambodia,train,0.05897435897435897,0.6153846153846154,0.28378378378378377
196,train_196,male_0,male," In 1989, it helped create the seafonds with Brooks and Green and was responsible for hiring the Shows Fast Tritling Team.",in 1989 he helped create the simpsons with brooks and groening and was responsible for hiring the show's first writing team,train,0.11282051282051282,0.3181818181818182,0.13934426229508196
197,train_197,male_5,male, John Grant from tell you any debuffalo reading Rainbow's home station said reading Rainbow talk is how to read the love of reading the song courage kids to pick up a book and to read,"john grant from wned buffalo reading rainbow's home station said reading rainbow taught kids why to read,... the love of reading — [the show] encouraged kids to pick up a book and to read.",train,0.10683760683760683,0.3125,0.17543859649122806
199,train_199,male_4,male, You need to notice the victim's position as you approach him or her in any automatic red flags.,you need to notice the victim's position as you approach him or her and any automatic red flags,train,0.1282051282051282,0.05263157894736842,0.020833333333333332
200,train_200,male_10,male, One of the main Christian tenants is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church aren't there specifically for that reason.,one of the main christian tenets is that wealth should be used to alleviate suffering and poverty and that the monetary funds of the church are there specifically for that reason,train,0.09401709401709402,0.06451612903225806,0.033707865168539325
204,train_204,male_0,male, Dark clouds are related to any volcanic activity that are reported at the base of the mountain.,dark clouds unrelated to any volcanic activity were reported at the base of the mountain,train,0.11282051282051282,0.26666666666666666,0.11363636363636363
206,train_206,male_5,male, The anger pass is needed to enter the temple so enough to get to bring your passport along when heading to townless sap.,the angkor pass is needed to enter the temple so do not forget to bring your passport along when heading to tonle sap,train,0.10683760683760683,0.21739130434782608,0.1111111111111111
208,train_208,male_5,male, In the rainy season November to March the water volume will be higher and the falls will be more dramatic.,in the rainy season november to march the water volume will be higher and the falls will be more dramatic,train,0.10683760683760683,0.0,0.0
209,train_209,male_1,male," In 1994, the ethnically Armenian Nagorno-Karab region of Azerbaijan waged war against the Aziris.",in 1994 the ethnically armenian nagorno-karabakh region of azerbaijan waged war against the azeris,train,0.1170940170940171,0.13333333333333333,0.04081632653061224
210,train_210,male_0,male," The high middle edges were preceded by the aluminum edges and followed by the lathe middle edges, which by conventional ends around 1500.",the high middle ages were preceded by the early middle ages and followed by the late middle ages which by convention ends around 1500,train,0.11282051282051282,0.2916666666666667,0.12781954887218044
213,train_213,male_4,male," The focus of this mindset is speed, logic and accuracy, also identification effect, reapplying existing techniques gathering information.",the focus of this mindset is speed logic and accuracy also identification of facts reapplying existing techniques gathering information,train,0.1282051282051282,0.10526315789473684,0.02962962962962963
214,train_214,male_0,male, The postmodern approach to learning offers the freedom from absolutes. There is no one good way to learn.,the postmodern approach to learning offers the freedom from absolutes there is no one good way to learn,train,0.11282051282051282,0.0,0.0
215,train_215,male_4,male, The best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals.,the best indication of internal poisoning may be the presence of an open container of medication or toxic household chemicals,train,0.1282051282051282,0.0,0.0
217,train_217,male_1,male," The city will be the first in Southeastern Europe to host Cal Parade, the world's largest public art event between June and August this year.",the city will be the first in southeastern europe to host cowparade the world's largest public art event between june and august this year,train,0.1170940170940171,0.08,0.021897810218978103
222,train_222,male_7,male," Mr. Rudd's decision to sign the Kyoto Climate Accord isolates the United States, which will now be the only development nation not to ratify the agreement.",mr rudd's decision to sign the kyoto climate accord isolates the united states which will now be the only developed nation not to ratify the agreement,train,0.12991452991452992,0.037037037037037035,0.01935483870967742
224,train_224,male_0,male, The iraxtali group presented its report at TELOP00GLT today.,the iraq study group presented its report at 12.00 gmt today,train,0.11282051282051282,0.45454545454545453,0.24561403508771928
225,train_225,male_3,male, The sometimes violent protests were triggered by failure to hold elections. Some do since 2011.,the sometimes-violent protests were triggered by failure to hold elections some due since 2011,train,0.13418803418803418,0.06666666666666667,0.02127659574468085
226,train_226,male_10,male, Though many of the animals in the park are used to seeing them as the wildlife is not the less wild and should not be fair or disturbed.,though many of the animals in the park are used to seeing humans the wildlife is nonetheless wild and should not be fed or disturbed,train,0.09401709401709402,0.24,0.07575757575757576
227,train_227,male_5,male," Now for Japan, Japan was an island country, just like Britain.",now for japan japan was an island country just like britain,train,0.10683760683760683,0.0,0.0
230,train_230,male_5,male, It's say it implied during the election that Ma might feel a country during the time of crisis.,hsieh implied during the election that ma might flee the country during a time of crisis,train,0.10683760683760683,0.4375,0.2159090909090909
236,train_236,male_5,male," In fact, region codes have absolutely no effect on a little copy in. A bit for a copy of a disco play just fine on any device where the original will.",in fact region codes have absolutely no effect on illegal copying a bit-for-bit copy of a disk will play just fine on any device where the original will,train,0.10683760683760683,0.23333333333333334,0.1118421052631579
240,train_240,male_1,male, The ancient city and the Judean hills has a fascinating history spanning thousands of years.,the ancient city in the judean hills has a fascinating history spanning thousands of years,train,0.1170940170940171,0.06666666666666667,0.023255813953488372
244,train_244,male_5,male," But regardless of his discovery, Eskimo Trives were already living there at the time.",but regardless of his discovery eskimo tribes were already living there at the time,train,0.10683760683760683,0.07142857142857142,0.012048192771084338
245,train_245,male_1,male," A leekle spirits can contain various dangerous impurities, including methanol, which can cause blindness or death, even in small doses.",illegal spirits can contain various dangerous impurities including methanol which can cause blindness or death even in small doses,train,0.1170940170940171,0.10526315789473684,0.038461538461538464
246,train_246,male_7,male," It was the last for the next 40 years and would be fought for real by proxy armies. Undeadles showed field from Africa to Asia in Afghanistan, Cuba, and many other places.",it was to last for the next 40 years and would be fought for real by proxy armies on battlefields from africa to asia in afghanistan cuba and many other places,train,0.12991452991452992,0.12903225806451613,0.1069182389937107
251,train_251,male_0,male, These are salaud zooms lenses to produce pictures of a quality comparable to that achieved by lenses with fixed and focal length.,this has allowed zoom lenses to produce pictures of a quality comparable to that achieved by lenses with fixed focal length,train,0.11282051282051282,0.23809523809523808,0.12195121951219512
253,train_253,male_5,male," Anyone interested in seeing evidence of the damage to the mummy, down during attempts to remove it from the coffin, will be disappointed as only the hidden shoulders are visible.",anyone interested in seeing evidence of the damage to the mummy done during attempts to remove it from the coffin will be disappointed as only the head and shoulders are visible,train,0.10683760683760683,0.0967741935483871,0.03954802259887006
254,train_254,male_3,male, These plants look like a small palm tree with a crown of sharpspike leaves.,these plants look like a small palm tree with a crown of sharp spiky leaves,train,0.13418803418803418,0.13333333333333333,0.02666666666666667
258,train_258,male_10,male, Using GPS navigation apps on your smartphone can be the easiest and most convenient way to navigate when out of your home country.,using gps navigation apps on your smartphone can be the easiest and most convenient way to navigate when out of your home country,train,0.09401709401709402,0.0,0.0
259,train_259,male_1,male," Jerusalem is the capital and largest city of Israel, the most other countries and the United Nations do not recognize it as Israel's capital.",jerusalem is the capital and largest city of israel though most other countries and the united nations do not recognize it as israel's capital,train,0.1170940170940171,0.04,0.027972027972027972
266,train_266,male_1,male, Construction is ongoing for five new skyscrapers at the site with a transportation center and a memorial park in the middle.,construction is ongoing for five new skyscrapers at the site with a transportation center and memorial park in the middle,train,0.1170940170940171,0.05,0.01694915254237288
269,train_269,male_5,male," While most of their food would have been familiar to us, Romans did have their share of strange or unusual feast items including wild boar, peacocks, snails and a type of rodent called a door mouse.",while most of their food would be familiar to us romans did have their share of strange or unusual feast items including wild boar peacock snails and a type of rodent called a dormouse,train,0.10683760683760683,0.14705882352941177,0.05434782608695652
272,train_272,male_0,male," Most have involved people who work with the poultry, but there is also some risk to bar watches.",most have involved people who work with poultry but there is also some risk to birdwatchers,train,0.11282051282051282,0.1875,0.07692307692307693
273,train_273,male_11,male," There are infinite variation possible, but these remains, what most people mean when they talk of going to the decent world.",there are infinite variations possible but this remains what most people mean when they talk of going to disney world,train,0.05897435897435897,0.2,0.10256410256410256
276,train_276,male_5,male," These relations help in planning, design and operations of roadway facilities.",these relationships help in planning design and operations of roadway facilities,train,0.10683760683760683,0.09090909090909091,0.05
281,train_281,male_1,male," Candidates can send representatives to witness every part of the process. In the evening, votes are counted by volunteers under heavy supervision following specific procedures.",candidates can send representatives to witness every part of the process in the evening votes are counted by volunteers under heavy supervision following specific procedures,train,0.1170940170940171,0.0,0.0
282,train_282,male_0,male, For a day hike along an estride little preparation are needed and any moderate leafy person can enjoy there.,for a day hike along an easy trail little preparations are needed and any moderately fit person can enjoy them,train,0.11282051282051282,0.3,0.12727272727272726
284,train_284,male_5,male," Children with ADD have a hard time focusing on things like schoolwork, but they can concentrate on things they enjoy or doing like playing games or watching their favorite cartoons or writing sentences without punctuation.",children with add have a hard time focusing on things like school work but they can concentrate on things they enjoy doing like playing games or watching their favorite cartoons or writing sentences without punctuation,train,0.10683760683760683,0.08571428571428572,0.01834862385321101
286,train_286,male_3,male," For example, if you were to see someone breaking a car window, he would probably assume he was trying to steal a stranger's car.",for example if you were to see someone breaking a car window you would probably assume he was trying to steal a stranger's car,train,0.13418803418803418,0.04,0.023622047244094488
287,train_287,male_7,male," International, hardy cultural expositions are specialized events which showcase floral displays, botanical gardens, and anything else to do with plants.",international horticultural expositions are specialised events which showcase floral displays botanical gardens and anything else to do with plants,train,0.12991452991452992,0.10526315789473684,0.027210884353741496
292,train_292,male_1,male," Lake O'Neiger is also connected to Volga, so coming from the Caspian Sea through Russia is still possible.",lake onega is also connected to volga so coming from the caspian sea through russia is still possible,train,0.1170940170940171,0.1111111111111111,0.04950495049504951
