rid	client_id	gender	transcription	reference
train_13	153	1	 Version have only purchased the Good Bank of Northern Rock, not the asset management company.	virgin have only purchased the good bank' of northern rock not the asset management company
train_14	147	0	 With this arrangement in place, this freedom might end.	with this arrangement in place this freedom might end
train_15	1372	1	 Its status declined during the 12th century, mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.	its status declined during the twelfth century mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what byzantine markets offered
train_16	493	0	 The civilization flourished in the basins of the Indus river that wherefore it derives its name.	the civilisation flourished in the basins of the indus river wherefore it derives its name
train_17	501	1	 It was developed by John Smith in the 1970s to help inexperienced folders or those with limited motor skills.	it was developed by john smith in the 1970s to help inexperienced folders or those with limited motor skills
train_18	1352	0	 For some, understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control.	for some understanding something about how aircraft work and what happens during a flight may help to overcome a fear which is based on the unknown or on not being in control
train_19	65	1	 The original bill was drafted by former mayor of San Paolo Marto Suplicy. The proposed legislation after being amended is now in the hands of Roberto Jefferson.	the original bill was drafted by former mayor of são paulo marta suplicy. the proposed legislation after being amended is now in the hands of roberto jefferson
train_20	196	1	 Masa is due to be out for at least the rest of the 2009 season.	massa is due to be out for at least the rest of the 2009 season
train_21	19	1	 There were protests worldwide, several criminal prosecutions, and the leaders of the governments of Iceland and Pakistan were both resigned.	there were protests worldwide several criminal prosecutions and the leaders of the governments of iceland and pakistan both resigned
train_22	221	0	 Despite his comments, he said he will be supporting the British competitors at the 2012 Olympics being held in London.	despite his comments he said he will be supporting the british competitors at the 2012 olympics being held in london
train_23	1055	0	 UN peacekeepers who arrived in Haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troops encampment.	un peacekeepers whom arrived in haiti after the 2010 earthquake are being blamed for the spread of the disease which started near the troop's encampment
train_24	242	1	 The unmanned lunar orbiter Chandrayaan-1 ejected its Moon Impact Probe , which hurtled across the surface of the Moon at 1.5 km per second and successfully crash-landed near the Moon's south pole.	the unmanned lunar orbiter chandrayaan-1 ejected its moon impact probe mip which hurtled across the surface of the moon at 1.5 kilometres per second 3000 miles per hour and successfully crash landed near the moon's south pole
train_25	908	0	 They normally offer higher bandwidth and better quality of service. They are encrypted and thus harder to spy on.	they normally offer higher bandwidth and better quality of service they are encrypted and thus harder to spy on
train_26	861	1	 Unattended bags are a target for theft and can also attract attention from authority wary of bomb threats.	unattended bags are a target for theft and can also attract attention from authorities wary of bomb threats
train_27	1155	0	 Examples include control, planning and scheduling, the ability to answer customers' diagnosis and questions, as well as handwriting recognition, voice and face.	examples include control planning and scheduling the ability to answer customer diagnoses and questions as well as handwriting recognition voice and face
train_28	373	0	 Other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them, even though today the sloth and other animals like the parrot, a descendant of the dinosaurs, can eat poisonous leaves or fruit.	other scientists argue that these plants are very poisonous so it is unlikely that any dinosaur ate them even though today the sloth and other animals like the parrot a descendant of the dinosaurs can eat poisonous leaves or fruit
train_29	646	1	 In fact, there is not one good thing to learn. Learning takes place in the experience between the learner and the knowledge presented.	in fact there is not one good thing to learn.learning takes place in the experience between the learner and the knowledge presented
train_30	735	1	 Permits must be reserved in advance. You must have a permit to stay overnight at Serena.	permits must be reserved in advance you must have a permit to stay overnight at sirena
train_31	355	0	 The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice even when tilted.	the blade on a modern ice skate has a double edge with a concave hollow between them the two edges allow for a better grasp of the ice even when tilted
train_32	378	1	 The outer part we see when we look at the Sun is called the photosphere, which means ball of light.	the outer-part we see when we look at the sun is called the photosphere which means ball of light
train_33	230	1	 This theory contradicts the claim that the moon is completely devoid of geologic activity.	this theory contradicts the claim that the moon is completely devoid of geologic activity
train_34	458	0	 Another disadvantage of zoom lenses is that the maximum aperture, the speed of the lens is usually lower.	another disadvantage of zoom lenses is that the maximum aperture the speed of the lens is usually lower
train_35	889	1	 A couple of thousand staff live here in summer in some four dozen bases, mostly in those areas. A small number stay over winter.	a couple of thousand staff live here in summer in some four dozen bases mostly in those areas a small number stay over winter
train_36	464	1	 Unfortunately, when you make a DVD, its borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.	unfortunately when you make a dvd it's borders will most likely be cut too and if the video had subtitles too close to the bottom they won't be fully shown
train_37	1245	0	 Visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows.	visibility may also be restricted by falling or blowing snow or by condensation or ice on vehicle windows
train_38	516	1	 In essence, the Renaissance made a significant change in the approach to learning and the dissemination of knowledge.	in essence the renaissance made a significant change in the approach to learning and the dissemination of knowledge
train_39	1503	1	 Historically, most farmers were engaged in subsistence agriculture, and this is still the case in many developing nations.	historically most farmers were engaged in subsistence agriculture and this is still the case in many developing nations
train_40	270	1	 21-year-old Jesus joined Manchester City last year in January 2017 from Brazilian club Palmares for a reported fee of £27 million.	21-year-old jesus joined manchester city last year in january 2017 from brazilian club palmeiras for a reported fee of £27 million
train_41	521	0	 Some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting.	some people believe that experiencing many artificially induced lucid dreams often enough can be very exhausting
train_42	150	0	 Northern Rock had required support due to its exposure during the subprime mortgage crisis in 2007.	northern rock had required support due to its exposure during the subprime mortgage crisis in 2007
train_43	1145	1	 In the context of Romanticism, the geography molded individuals and over time, customs and culture related to that geography arose, and these, being in harmony with the place of the society, were better than arbitrarily imposed laws.	in the context of romanticism the geography molded individuals and over time customs and culture related to that geography arose and these being in harmony with the place of the society were better than arbitrarily imposed laws
train_44	1425	0	 Officials for the city of Amsterdam and the Anne Frank Museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over.	officials for the city of amsterdam and the anne frank museum state that the tree is infected with a fungus and poses a public health hazard as they argue that it was in imminent danger of falling over
train_45	1142	1	 We will endeavor to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level, he said.	we will endeavour to cut carbon dioxide emissions per unit of gdp by a notable margin by 2020 from the 2005 level hu said
train_46	768	0	 Beijing will host the opening and closing ceremonies and the indoor ice events.	beijing will host the opening and closing ceremonies and the indoor ice events
train_47	440	1	 After the fire, the fortress was preserved and protected, remaining to be one of Butan's most sensational attractions.	after the fire the fortress was preserved and protected remaining to be one of bhutan's most sensational attractions
train_48	723	1	 Within a few short years following the arrival of European explorers, the population of Tannos had significantly been reduced by the Spanish conquerors.	within a few short years following the arrival of european explorers the population of tainos had significantly been reduced by the spanish conquerors
train_49	179	0	 Shortly after, the Atlanta Journal Constitution published a report showing problems with test results.	shortly after the atlanta journal-constitution published a report showing problems with test results
train_50	1179	0	 In 1885, after defeat in the first Sino-Japanese War , the Qing government signs the Treaty of Shimono-Seki by which cedes sovereignty over Taiwan to Japan, which rules the island until 1945.	in 1895 after defeat in the first sino-japanese war 1894-1895 the qing government signs the treaty of shimonoseki by which it cedes sovereignty over taiwan to japan which rules the island until 1945
train_51	891	0	 Occasional specialist air tours go inland for mountaineering or to reach the pole, which has a larger base.	occasional specialist air tours go inland for mountaineering or to reach the pole which has a large base
train_52	660	1	 While San Francisco's economy is linked to it being a world-class tourist attraction, its economy is diversified.	while san francisco's economy is linked to it being a world-class tourist attraction its economy is diversified
train_53	214	1	 At the time, nearly 100 residents were evacuated from the area.	at the time nearly 100 residents were evacuated from the area
train_54	1384	1	 The D-Day landings and the following battles had freed the north of France, but the south still wasn't free.	the d-day landings and the following battles had freed the north of france but the south still wasn't free
train_55	824	0	 It can be better to use an agent who frequently books similar trips to yours.	it can be better to use an agent who frequently books similar trips to yours
train_56	406	1	 Because of their success with submarines, after the war Germans aren't trusted to have many of them.	because of their success with submarines after the war germans aren't trusted to have many of them
train_57	253	0	 Leonov, also known as cosmonaut number 11, was part of the Soviet Union's original team of cosmonauts.	leonov also known as cosmonaut no 11 was part of the soviet union's original team of cosmonauts
train_58	1454	1	 The station's website describes the show as old-school radio theater with a new and outrageous geeky spin.	the station's web site describes the show as old school radio theater with a new and outrageous geeky spin
train_59	418	0	 The number of native speakers varies depending on whether or not very closely related dialects are counted.	the number of native speakers varies depending on whether or not very closely related dialects are counted
train_60	1447	1	 Dr. Tony Maul discovered the extremely drug-resistant tuberculosis, XTRTB, in the South African region, KwaZulu-Natal.	dr. tony moll discovered the extremely drug resistant tuberculosis xdr-tb in the south african region kwazulu-natal
train_61	340	1	 He was immediately attended to by the on-track medical staff and transported to a local hospital where he later died.	he was immediately attended to by the on-track medical staff and transported to a local hospital where he later died
train_62	1241	1	 summits include breathtaking views from peaks climbers from all parts of the world are continually establishing new routes amongst is endless potential of walls	summits include breath-taking views from peaks climbers from all parts of the world are continually establishing new routes amongst its endless potential of walls
train_63	1092	1	 It has a notably wide variety of plant communities due to its range of microclimates, differing soils and varying levels of altitude.	it has a notably wide variety of plant communities due to its range of microclimates differing soils and varying levels of altitude
train_64	572	0	 When the individual shows several variants of a particular trait, they are polymorphic.	when the individuals show several variants of a particular trait they are polymorphic
train_65	874	1	 If you're feeling more adventurous, take the opportunity to juice or blend up some smoothies.	if you're feeling more adventurous take the opportunity to juice or blend up some smoothies
train_66	761	1	 Joining such a network usually just requires filling out an online form, although some networks offer or require additional verification.	joining such a network usually just requires filling out an online form although some networks offer or require additional verification
train_67	1182	1	 After the results came in, Gingrich lauded Santorum but had tough words for Romney on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.	after the results came in gingrich lauded santorum but had tough words for romney on whose behalf negative campaign advertisements were aired in iowa against gingrich
train_68	1082	0	 It can be made very thin and stuck onto other metal. It can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called illuminated manuscripts.	it can be made very thin and stuck onto other metal it can be made so thin that it was sometimes used to decorate the hand-painted pictures in books called illuminated manuscripts
train_69	781	0	 This gives resolution almost four times that of a 35 millimeter negative. 3136 millimeters squared versus 864.	this gives resolution almost four times that of a 35 mm negative 3136 mm2 versus 864
train_70	946	0	 Vikings used erosion waterways to get to the Black Sea and Caspian Sea. Parts of these routes can still be used. Check possible need for special permits which may be difficult to get.	vikings used the russian waterways to get to the black sea and caspian sea parts of these routes can still be used check possible need for special permits which may be difficult to get
train_71	281	1	 Organizers of the protest said about 100,000 people turned up in German cities such as Berlin, Cologne, Hamburg and Hanover.	organisers of the protest said about 100,000 people turned up in german cities such as berlin cologne hamburg and hanover
train_72	415	0	 Sophocles and Aristophanes are still popular playwrights, and their plays are considered to be among the greatest works of world literature.	sophocles and aristophanes are still popular playwrights and their plays are considered to be among the greatest works of world literature
train_73	937	0	 Income tax is structured differently in different countries and the tax rates and brackets vary widely from one country to another.	income tax is structured differently in different countries and the tax rates and brackets vary widely from one country to another
train_74	133	1	 Christopher Garcia, a spokesperson of the Los Angeles Police Department, said the suspected male offender is being investigated for trespassing rather than vandalism.	christopher garcia a spokesperson of the los angeles police department said the suspected male offender is being investigated for trespassing rather than vandalism
train_75	665	1	 Traveling to Walt Disney World represents a major pilgrimage for many American families.	traveling to walt disney world represents a major pilgrimage for many american families
train_76	311	1	 A formal anniversary event was scheduled for a later date, officials said.	a formal anniversary event was scheduled for a later date officials said
train_77	697	0	 Due to the regional significance of the city and in particular the many sites of the old city area, Jerusalem is one of the main tourist destinations in Israel.	due to the religious significance of the city and in particular the many sites of the old city area jerusalem is one of the main tourist destinations in israel
train_78	1105	1	 The Great Pyramid was created to honor the Pharaoh Khufu and many of the smaller pyramids, tombs, and temples were built to honor Khufu's wives and family members.	the great pyramid was created to honor the pharaoh khufu and many of the smaller pyramids tombs and temples were built to honor khufu's wives and family members
train_79	1174	1	 Negotiators tried to rectify the situation, but the prisoners' demands are not clear.	negotiators tried to rectify the situation but the prisoners' demands are not clear
train_80	1372	0	 Its status declined during the 12th century mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what Byzantine markets offered.	its status declined during the twelfth century mainly due to the fact that crusaders had returned bearing gifts such as silks and spices that were valued more than what byzantine markets offered
train_81	626	1	 The focus of this mindset is speed, logic, accuracy. Also identification of facts, reapplying existing techniques, and gathering information.	the focus of this mindset is speed logic and accuracy also identification of facts reapplying existing techniques gathering information
train_82	355	0	 The blade on a modern ice skate has a double edge with a concave hollow between them. The two edges allow for a better grasp of the ice even when tilted.	the blade on a modern ice skate has a double edge with a concave hollow between them the two edges allow for a better grasp of the ice even when tilted
train_83	1267	0	 I was moved every time we did a rehearsal on this from the bottom of my heart.	i was moved every time we did a rehearsal on this from the bottom of my heart
train_84	1490	1	 The show originally featured amateur voice actors local to East Texas.	the show originally featured amateur voice actors local to east texas
train_85	1121	1	 The Director of Public Prosecutions, Keir Starmer QC, gave a statement this morning announcing the prosecution of both Hoon and Price.	the director of public prosecutions kier starmer qc gave a statement this morning announcing the prosecution of both huhne and pryce
train_86	791	1	 They are regaling each other with stories from their hometowns, told in their distinct accents in local Argo.	they're regaling each other with stories from their hometowns told in their distinct accents and local argot
train_87	79	0	 Maru Shidor had finished on top of the ladder, six points clear of Noosa in second.	maroochydore had finished on top of the ladder six points clear of noosa in second
train_88	480	1	 This way you will tire yourself out as little as possible. Remember, there's no need to hit the keys with a lot of force for extra volume like on the piano.	this way you will tire yourself out as little as possible remember there's no need to hit the keys with a lot of force for extra volume like on the piano
train_89	838	0	 Many buildings are quite beautiful to look at and the view from a tall building or from a cleverly positioned window can be a beauty to behold.	many buildings are quite beautiful to look at and the view from a tall building or from a cleverly-positioned window can be a beauty to behold
train_90	555	1	 Products can be purchased as needed but most will have little or no real impact on performance.	products can be purchased as needed but most will have little or no real impact on performance
train_91	1237	0	 In an adoption, the birth parents terminate their parental rights so that another couple may parent the child.	in an adoption the birth parents terminate their parental rights so that another couple may parent the child
train_92	1350	1	 The definition has geographic variations, where the age limit might be shorter in places such as North America than in Europe.	the definition has geographic variations where the age limit might be shorter in places such as north america than in europe
train_93	1142	0	 We will endeavor to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level, Hu said.	we will endeavour to cut carbon dioxide emissions per unit of gdp by a notable margin by 2020 from the 2005 level hu said
train_94	2	0	 Lead researchers say this may bring early detection of cancer, tuberculosis, HIV and malaria to patients in low-income countries where the survival rate for illnesses such as breast cancer can be above those of richer countries.	lead researchers say this may bring early detection of cancer tuberculosis hiv and malaria to patients in low-income countries where the survival rates for illnesses such as breast cancer can be half those of richer countries
train_95	272	0	 Dr. Lee also expressed his concern about reports that children in Turkey have now become infected with the AH5N1 avian influenza virus without becoming ill.	dr. lee also expressed his concern about reports that children in turkey have now become infected with the ah5n1 avian influenza virus without becoming ill
train_96	1434	1	 Later reports then stated that the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.	later reports then stated the plane received a bomb threat and was diverted back to afghanistan landing in kandahar
train_97	732	1	 For those who enjoy outdoor activities, a trek up to Sea to Sky Corridor is essential.	for those who enjoy outdoor activities a trek up the sea to sky corridor is essential
train_98	655	1	 Crime and ill will toward foreigners in general is virtually unknown in Greenland. Even in the towns there are no rough areas.	crime and ill-will toward foreigners in general is virtually unknown in greenland even in the towns there are no rough areas
train_99	619	1	 Individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures.	individuals who had been involved for several decades helped us appreciate our strengths and passions while candidly assessing difficulties and even failures
train_100	927	1	 If using a drone, check well in advance as to what you are allowed to film and what permits or additional licensing are required.	if using a drone check well in advance as to what you are allowed to film and what permits or additional licensing are required
train_101	613	1	 Music is often recorded using sophisticated computers to process and mix sounds together.	music is often recorded using sophisticated computers to process and mix sounds together
train_102	811	1	 Canyoning combines elements from swimming, climbing, and jumping, but requires relatively little training or physical shape to get started, compared to rock climbing, scuba diving, or alpine skiing, for example.	canyoning combines elements from swimming climbing and jumping--but requires relatively little training or physical shape to get started compared to rock climbing scuba diving or alpine skiing for example
train_103	807	1	 High-end brand name frames available in such areas may have two problems. Some may be knock-offs and the real important ones may be more expensive than at home.	high-end brand-name frames available in such areas may have two problems some may be knock-offs and the real imported ones may be more expensive than at home
train_104	16	0	 Panama Papers is an umbrella term for roughly 10 million documents from Panamanian law firm Mossack Finesco leaked to the press in spring 2016.	panama papers is an umbrella term for roughly ten million documents from panamanian law firm mossack fonseca leaked to the press in spring 2016
train_105	1237	0	 In an adoption, the birth parents terminate their parental rights so that another couple may parent the child.	in an adoption the birth parents terminate their parental rights so that another couple may parent the child
train_106	952	0	 You should choose your frequent flyer airline in an alliance carefully.	you should choose your frequent flyer airline in an alliance carefully
train_107	324	0	 Tropical storm Danielle, fourth named storm of the 2010 Atlantic hurricane season, has formed in the eastern Atlantic Ocean.	tropical storm danielle fourth named storm of the 2010 atlantic hurricane season has formed in the eastern atlantic ocean
train_108	460	0	 One of the most common problems when trying to convert a movie to DVD is the overscan.	one of the most common problems when trying to convert a movie to dvd format is the overscan
train_109	749	0	 The setting might be an historic old building with antique furnishings, manicured grounds, and a swimming pool.	the setting might be an historic old building with antique furnishings manicured grounds and a swimming pool
train_110	1407	0	 Duty-free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations.	duty free shopping is the opportunity to buy goods exempted from taxes and excises at certain locations
train_111	229	1	 These carps were found all over the moon and appear to be minimally weathered, indicating that the geologic events that created them were fairly recent.	these scarps were found all over the moon and appear to be minimally weathered indicating that the geologic events that created them were fairly recent
train_112	1343	1	 Moreover, failure to do so has serious consequences, growth, depression, malnutrition, and ultimately death.	moreover failure to do so has serious consequences growth depression malnutrition and ultimately death
train_113	361	1	 The next picture shows the atoms emitting photons. Of course, in reality, photons are a lot smaller than those in the picture.	the next picture shows the atoms emitting photons of course in reality photons are a lot smaller than those in the picture
train_114	1405	1	 However, a nationwide road network is not economically viable for just a handful of cars, so new methods of production are developed to reduce the cost of car ownership.	however a nationwide road network is not economically viable for just a handful of cars so new methods of production are developed to reduce the cost of car ownership
train_115	518	1	 The chimpanzee's hand and foot are similar in size and length, reflecting the hand's use for bearing weight in knuckle walking.	the chimpanzee's hand and foot are similar in size and length reflecting the hand's use for bearing weight in knuckle walking
train_116	411	1	 The invention of spoke wheels made Assyrian chariots lighter, faster, and better prepared to outrun soldiers and other chariots.	the invention of spoke wheels made assyrian chariots lighter faster and better prepared to outrun soldiers and other chariots
train_117	1391	1	 Her other race, the Giants La Lomme, saw her finish in 10th in the women's sitting group with a combined run time of 4 hours 41 minutes and 30 seconds, 2 hours 11 minutes and 60 seconds slower than first place finisher Austrian Claudia Loesch and one of the best runners in the world.	her other race the giant slalom saw her finish in tenth in the women's sitting group with a combined run time of 4:41.30 2:11.60 minutes slower than first place finisher austrian claudia loesch and 1:09.02 minutes slower than the ninth place finisher gyöngyi dani of hungary
train_118	984	1	 Bird flu, or more formally avian influenza, can infect both birds and mammals.	bird flu or more formally avian influenza can infect both birds and mammals
train_119	1044	0	 The area is also home to an extremely wide variety of animal and bird species.	the area is also home to an extremely wide variety of animal and bird species
train_120	87	0	 The amount and thickness of the pack ice, according to Pitman, is the worst it has been for sealers in the past 15 years.	the amount and thickness of the pack ice according to pittman is the worst it has been for sealers in the past 15 years
train_121	1172	1	 Such children are called feral or wild. Some feral children have been confined by people, usually their own parents. In some cases, this child abandonment was due to the parent's reduction of a child's severe intellectual or physical impairment.	such children are called feral or wild. some feral children have been confined by people usually their own parents; in some cases this child abandonment was due to the parents' rejection of a child's severe intellectual or physical impairment
train_122	557	1	 The atom can be considered to be one of the fundamental building blocks of all matter.	the atom can be considered to be one of the fundamental building blocks of all matter
train_123	88	1	 News spread in the Red Lake community today as funerals for Jeff Wise and three of the nine victims were held that another student was arrested in connection with the school shootings of March 21st.	news spread in the red lake community today as funerals for jeff weise and three of the nine victims were held that another student was arrested in connection with the school shootings of march 21
train_124	888	0	 Tourist visits are costly, demand physical fitness, can only take place in summer November to February, and are largely limited to the Peninsula Islands and Ross Sea.	tourist visits are costly demand physical fitness can only take place in summer nov-feb and are largely limited to the peninsula islands and ross sea
train_125	859	1	 This includes waiting in line as drug sniffing dogs could be used at any time without notice.	this includes waiting in line as drug-sniffing dogs could be used at any time without notice
train_126	794	1	 In some countries or types of stores, there are at least one on-site restaurant, often a rather informal one with affordable prices.	in some countries or types of stores there is at least one on-site restaurant often a rather informal one with affordable prices
train_127	1347	1	 Sort of like rolling a heavy cart up a hill, splitting the nucleus up again then releases some of that energy.	sort of like rolling a heavy cart up a hill splitting the nucleus up again then releases some of that energy
train_128	471	1	 The balance of power was a system in which European nations sought to maintain the national sovereignty of all European states.	the balance of power was a system in which european nations sought to maintain the national sovereignty of all european states
train_129	634	1	 He would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into.	he would need to be judged differently if he had lost his car keys and it was his own car that he was trying to break into
train_130	1268	1	 Airlines know well that there is a certain core group of flyers who are willing to pay top dollar for the privilege of getting somewhere fast and in comfort and charge accordingly.	airlines know well that there is a certain core group of flyers who are willing to pay top dollar for the privilege of getting somewhere fast and in comfort and charge accordingly
train_131	463	1	 This is made to ensure that the image covers the whole screen. That is called overscan.	this is made to ensure that the image covers the whole screen that is called overscan
train_132	1001	1	 Vatican City uses Italian in its legislation and official communications.	vatican city uses italian in its legislation and official communications
train_133	605	1	 Although its physical state may change, its chemical state remains the same.	although its physical state may change its chemical state remains the same
train_134	743	0	 Though smaller, it reminds some elderly visitors of Hawaii before statehood without all the large tourist hotels and other development.	though smaller it reminds some elderly visitors of hawaii before statehood without all the large tourist hotels and other development
train_135	644	1	 Students can also submit questions to instructors at any time of day and expect reasonably quick responses, rather than waiting until the next face-to-face meeting.	students can also submit questions to instructors at any time of day and expect reasonably quick responses rather than waiting until the next face-to-face meeting
train_136	1028	1	 It is reported that some 9,400 homes in the region are without water and approximately 100 without electricity.	it is reported that some 9400 homes in the region are without water and approximately 100 without electricity
train_137	473	1	 The War of Spanish Succession marked the first war whose central issue was the balance of power.	the war of spanish succession marked the first war whose central issue was the balance of power
train_138	487	1	 Sikhs consider their faith to be a separate religion from Hinduism, though they acknowledge its Hindu roots and traditions.	sikhs consider their faith to be a separate religion from hinduism though they acknowledge its hindu roots and traditions
train_139	1349	0	 Efforts such for this crash site are being met by bad weather and harsh terrain.	efforts to search for the crash site are being met by bad weather and harsh terrain
train_140	684	1	 On the other hand, it is precisely because the volume of water is so high that your viewing of the actual falls would be obscured, all by the water.	on the other hand it is precisely because the volume of water is so high that your viewing of the actual falls will be obscured-by all the water
train_141	916	1	 Some of the applications in this category can even translate texts in foreign languages on signs or other objects in the real world when the user points the smartphone towards those objects.	some of the applications in this category can even translate texts in foreign languages on signs or other objects in the real world when the user points the smartphone towards those objects
train_142	1177	1	 Today, Timbuktu is an impoverished town, although its reputation makes it a tourist attraction and it has an airport.	today timbuktu is an impoverished town although its reputation makes it a tourist attraction and it has an airport
train_143	1165	0	 Historians have criticized past FBI policies for focusing resources on cases which are easy to solve, especially stolen car cases, with the intent of boosting the agency's success rate.	historians have criticized past fbi policies for focusing resources on cases which are easy to solve especially stolen car cases with the intent of boosting the agency's success rate
train_144	531	1	 Golf is a game in which players use clubs to hit balls into holes.	golf is a game in which players use clubs to hit balls into holes
train_145	67	1	 After it became apparent that many families were seeking legal help to fight the evictions, a meeting was held on March 20 at the East Bay Community Law Center for the victims of the housing scam.	after it became apparent that many families were seeking legal help to fight the evictions a meeting was held on march 20 at the east bay community law center for the victims of the housing scam
train_146	1493	1	 This was more like the four states of matter in the same order, solid, liquid, gas, and plasma, though we also theorize that they change into new substances to form what we see.	this was more like the four states of matter in the same order: solid liquid gas and plasma though he also theorised that they change into new substances to form what we see
train_147	970	0	 Part of his charm is the lack of visible corporate development. Passes, trains and boats connect the villages and cars cannot reach them from the outside.	part of its charm is the lack of visible corporate development paths trains and boats connect the villages and cars cannot reach them from the outside
train_148	917	1	 The translation edges have improved dramatically and now often give more or less correct translations and more seldom gibberish, but some care is due as they still may have gotten it all wrong.	the translation engines have improved dramatically and now often give more or less correct translations and more seldom gibberish but some care is due as they still may have gotten it all wrong
train_149	269	0	 This is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk email aka spam from unsolicited distribution into users' mailboxes.	this is the first time a conviction has been gained using the legislation enacted in 2003 to curb bulk e-mail aka spam from unsolicited distribution into users mailboxes
train_150	46	1	 On September 24, 1759, Arthur Guinness signed a 9,000 year lease for the St. James Gate Brewery in Dublin, Ireland.	on september 24 1759 arthur guinness signed a 9,000 year lease for the st james' gate brewery in dublin ireland
train_151	989	0	 In Rogaland and Agder, they are usually called hay, meaning a treeless moorland often covered in heather.	in rogaland and agder they are usually called hei meaning a treeless moorland often covered in heather
train_152	220	1	 2004 Olympic silver medalist Amir Khan said, Deep down, I think women shouldn't fight. That's my opinion.	2004 olympic silver medallist amir khan said deep down i think women shouldn't fight that's my opinion
train_153	396	0	 However, very few Royal Navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by German air attack.	however very few royal navy ships were based near the likely invasion routes as the admirals were afraid they would be sunk by german air attack
train_154	1185	0	 You can also have alloys that include small amounts of non-metallic elements like carbon.	you can also have alloys that include small amounts of non-metallic elements like carbon
train_155	1021	0	 Also blogging forces students to become more savvy about the world around them. The need to feed the interest of the audience inspires students to be clever and interesting. Toto, 2004	also blogging forces students to become more savvy about the world around them. the need to feed the interest of the audience inspires students to be clever and interesting toto 2004
train_156	130	0	 The city will be the first in Southeastern Europe to host Cal Parade, the world's largest public art event between June and August this year.	the city will be the first in southeastern europe to host cowparade the world's largest public art event between june and august this year
